id,项目名称,网址,项目类型,项目所在地,招标方式,zbkzj,下浮率,kbjj,投标单位数量,开标时间
A3311011160013354,景宁畲族自治县全域土地综合整治与生态修复工程项目—国家公园景宁科研站展陈项目工程总承包（EPC）,http://lssggzy.lishui.gov.cn/art/2023/8/16/art_1229662190_224864.html,房屋建筑工程,景宁,公开招标,0.0,0.0,0.0,4,2023/8/16
A3311011160013360,缙云县中心镇养老院建设工程-东渡镇养老院装修工程,http://lssggzy.lishui.gov.cn/art/2023/8/16/art_1229662089_224874.html,房屋建筑工程,缙云,公开招标,8553627.43792325,11.4,7578513.91,226,2023/8/16
A3311011160013387,遂昌县P(2022)66号地块项目,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229662124_224684.html,房屋建筑工程,遂昌,公开招标,0.0,0.0,0.0,15,2023/8/15
A3311011160013304,云和县祥云街（黄水碓-城西路）道路工程监理,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229661989_224532.html,市政基础设施工程,云和,公开招标,1311500.0,0.0,1311500.0,5,2023/8/15
A3311011160013392,青田县瓯南医疗综合服务中心新建工程,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229661956_224503.html,房屋建筑工程,青田,公开招标,0.0,0.0,0.0,74,2023/8/15
A3311011160013394,丽水终身教育中心项目-电梯设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229661812_224595.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,5,2023/8/15
A3311011160013242,丽水市人民医院东城院区医疗科教综合楼项目施工图设计,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229661812_224664.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,5,2023/8/15
A3311011160013389,丽水市东港路与望城路交叉口东北侧08-D-16地块商住用房项目设计,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229661812_224256.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,7,2023/8/15
A3311011160013285,青田县图书馆新馆装修项目,http://lssggzy.lishui.gov.cn/art/2023/8/15/art_1229661956_224620.html,房屋建筑工程,青田,公开招标,6395068.81663113,6.2,5998574.55,225,2023/8/15
A3311011160013383,澄照乡金坵村共富畲乡示范村建设项目（三期）,http://lssggzy.lishui.gov.cn/art/2023/8/14/art_1229662190_224359.html,房屋建筑工程,景宁,公开招标,5644244.291754757,5.4,5339455.1,84,2023/8/14
A3311011160013371,缙云县堰坝建设与改造工程（二期）,http://lssggzy.lishui.gov.cn/art/2023/8/14/art_1229662089_224417.html,水利工程,缙云,公开招标,9487361.45,0.0,9487361.45,118,2023/8/14
A3311011160013025,市图书馆西侧地块地下停车场及配套附属工程设计,http://lssggzy.lishui.gov.cn/art/2023/8/14/art_1229661812_224403.html,房屋建筑,丽水,公开招标,0.0,0.0,0.0,3,2023/8/14
A3311011160013380,缙云县2023年美丽县城建设工程-船埠头新村区块外立面整治工程,http://lssggzy.lishui.gov.cn/art/2023/8/11/art_1229662089_224220.html,房屋建筑工程,缙云,公开招标,9082030.602150539,7.0,8446288.46,160,2023/8/11
A3311011160013367,缙云县东方镇乡愁富民示范区项目－皋靖线沿线整治改造提升工程,http://lssggzy.lishui.gov.cn/art/2023/8/11/art_1229662089_224029.html,市政基础设施工程,缙云,公开招标,11545317.90547798,6.9,10748690.97,201,2023/8/11
A3311011160013366,白口区块九年一贯制学校新建工程设计,http://lssggzy.lishui.gov.cn/art/2023/8/11/art_1229661852_224223.html,房屋建筑,莲都,公开招标,0.0,0.0,0.0,6,2023/8/11
A3311011160013340,紧水滩水冷式绿色数据中心项目主体工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/8/11/art_1229661989_223987.html,房屋建筑工程,云和,公开招标,0.0,0.0,0.0,6,2023/8/11
A3311011160013379,庆元县屏都综合新区（栖花园、岗后坑、石坝地块）矿地综合利用项目地质勘查,http://lssggzy.lishui.gov.cn/art/2023/8/10/art_1229662056_223789.html,市政基础设施工程,庆元,公开招标,0.0,0.0,0.0,7,2023/8/10
