序号,id,项目名称,网址,zbkzj,下浮率,kbjj,投标单位数量,city,province
30,A3311011160012521,K地块、余庄前二期等安置小区亮化工程,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229661812_215554.html,6449083.996,10.9,5746133.84,30,丽水市,安徽省
31,A3311011160013073,遂昌县大柘镇云上茶歇、桃谷浮云驿站、岭上人家民宿等提升项目,http://lssggzy.lishui.gov.cn/art/2023/6/20/art_1229662124_215493.html,7870392.403,7.6,7272242.58,250,丽水市,安徽省
32,A3311011160013017,龙泉市2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661923_214221.html,8385753.402,3,8134180.8,5,丽水市,安徽省
33,A3311011160013047,2023年缙云县低等级公路提升改造工程（木栗-木瓜坑-西峰）,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229662089_214548.html,7186073.283,1,7114212.55,66,丽水市,安徽省
34,A3311011160013003,龙泉市第一中学宿舍提升改造工程—C幢装修及安装工程,http://lssggzy.lishui.gov.cn/art/2023/6/9/art_1229661923_213575.html,4500551.001,7.1,4181011.88,72,丽水市,安徽省
35,A3311011160013046,丽水市大溪南路（南明山路口）工程,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229661812_214142.html,5371567.005,6.5,5022415.15,138,丽水市,安徽省
36,A3311011160013040,缙云县碧川小学综合楼及运动场看台工程,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229662089_214141.html,25894941.55,5.4,24496614.71,186,丽水市,安徽省
37,A3311011160012948,龙泉市2023年“四好农村路”提升工程一养护大中修和龙泉市2023年“四好农村路”提升工程一提升改善,http://lssggzy.lishui.gov.cn/art/2023/6/8/art_1229661923_214101.html,72449746.68,3,70276254.28,5,丽水市,安徽省
38,A3311011160013034,武警丽水支队机动中队营房及训练设施项目,http://lssggzy.lishui.gov.cn/art/2023/6/7/art_1229661812_213971.html,40019966.39,6.7,37338628.64,59,丽水市,安徽省
39,A3311011160013007,2023年里弄小巷提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/6/7/art_1229661923_213993.html,4328987.188,11.1,3848469.61,76,丽水市,安徽省
40,A3311011160012942,缙云县乡镇街道生态公墓建设工程-胡源胡村生态公墓建设工程,http://lssggzy.lishui.gov.cn/art/2023/6/7/art_1229662089_211708.html,8690066.836,9.6,7855820.42,108,丽水市,安徽省
