项目名称,网址,项目类型,项目所在地,zbkzj,下浮率,kbjj,投标单位数量,开标时间
遂昌县“四好农村路”建设-2024年农村公路改建工程勘察设计,http://lssggzy.lishui.gov.cn/art/2023/10/7/art_1229662124_233767.html,交通工程,遂昌,923033.33,0,923033.33,6,2023/10/7
景宁畲族自治县职业高级中学整体迁建工程变配电工程,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229662190_234004.html,房屋建筑工程,景宁,0,0,0,11,2023/10/8
缙云县丽缙园小学（暂名）项目EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229662089_233796.html,房屋建筑工程,缙云,0,0,0,14,2023/10/8
缙云县双潭水厂至新碧街道供水工程及县城建成区“污水零直排区”建设工程—缙云五都区块排水管网及周边道路工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229662089_234030.html,市政基础设施工程,缙云,0,0,0,13,2023/10/8
遂昌县黄沙腰镇山洪沟治理工程,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229662124_234025.html,水利工程,遂昌,4286201.28,0,4286201.28,122,2023/10/8
丽水市市区屋顶（第三批次）光伏项目-电缆采购,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229661852_233974.html,7,莲都区,0,0,0,8,2023/10/8
青田舒桥乡箬鸟5.98兆瓦复合式光伏发电项目,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229661956_236608.html,农业工程,青田,0,0,0,31,2023/10/8
碧湖新城白桥区块污水过江管道项目——高溪工业路至白桥污水泵站段污水管道工程,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229661852_233934.html,1基础设施,莲都,0,7.5,0,127,2023/10/8
松阳县人民医院改扩建项目-暖通工程,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229662157_233813.html,房屋建筑工程,松阳,0,0,0,6,2023/10/8
松阳县松阳大道（暂名）拓宽改造工程全过程工程咨询服务,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229662157_233976.html,市政基础设施工程,松阳,0,0,0,9,2023/10/8
龙泉市九姑山、棋盘山水毁治理项目,http://lssggzy.lishui.gov.cn/art/2023/10/8/art_1229661923_233862.html,市政基础设施工程,龙泉,5635938.998,7.2,5230151.39,119,2023/10/8
云和县祥云街（黄水碓-城西路）道路工程,http://lssggzy.lishui.gov.cn/art/2023/10/9/art_1229661989_234071.html,市政基础设施工程,云和,0,0,0,32,2023/10/9
长江经济带瓯江干流（市本级段）流域保护及修复工程－紫金街道（厦河一区、三区、城东小区）管网改造项目,http://lssggzy.lishui.gov.cn/art/2023/10/9/art_1229661852_234261.html,1基础设施,莲都,0,0,0,144,2023/10/9
国网浙江紧水滩电厂运维检修综合用房项目,http://lssggzy.lishui.gov.cn/art/2023/10/9/art_1229661989_234297.html,房屋建筑工程,云和,0,0,0,19,2023/10/9
塔腊公路（青田段）增设照明设施项目,http://lssggzy.lishui.gov.cn/art/2023/10/9/art_1229661956_234330.html,交通工程,青田,4477940.746,3.5,4321212.82,27,2023/10/9
